article,chunk_number,context,question,answer
محرك نفاث,17," ينبغي للتوربين أن يكون مصممًا بحيث يمنع انصهار الشفرات والريش عند درجات الحرارة العالية وبيئة الإجهاد. لذلك يخرج من نظام الضاغط انبوب لتسريب الهواء يُدخل التوربين لتبريد الشفرات والريش الداخلية. وهناك حلول أخرى مشابهة مثل: تحسين المواد الخام والتكسية لتلك الإسطوانات، بحيث تتحمل الإجهاد الشديد الناتج من دوران الشفرات القوي، التي تأخذ شكل الاندفاع أو ردة فعل أو الإثنين معًا (الاندفاع وردة الفعل معا) في بعض الأحيان، بالإضافة لتحسين تلك المواد بهدف تقليل وزن الإسطوانات.
 إن الهدف الرئيسي للخرطوش هو إخراج تيار العادم إلى الضغط الجوي العادي، وتشكيله إلى نفث عالي السرعة يدفع الطائرة أو المركبة للأمام. بعض المحركات النفاثة تستخدم الخراطيش المقربة البسيطة.
 العديد من محركات الطائرات العسكرية تحتوي على جهاز غرفة الاحتراق المساعد داخل نظام العادم للمحرك. فعندما يعمل النظام تتوسع مساحة رقبة الخرطوش حتى تلائم حجم تمدد الدفق الزائد له. لذلك فالتوربين لا يرتبط بعمل تلك الغرفة. هناك العديد من أشكال رقبة الخرطوش تأتي من تحريك سلسلة من البتلات المتداخلة التي تشبه الشكل الدائري للمقطع العرضي للخرطوش.
",ما هو الهدف الرئيسي للخرطوش في محرك النفاث؟,"الهدف الرئيسي للخرطوش هو إخراج تيار العادم إلى الضغط الجوي العادي، وتشكيله إلى نفث عالي السرعة يدفع الطائرة أو المركبة للأمام."
محرك نفاث,18," يقلص دفق الهواء شكل العادم في السرعة ما دون الصوتية إلى شكل متقارب وكلما ازدادت السرعة يتوسع الخرطوشين مما يجعل العادم يظهر بشكل متقارب - متباعد إن تعدت السرعة رقم الماك 1. مميزات الخرطوش القاذف هي بساطة التصميم والثبات، وعيوبه هي أدائه المتوسط (مقارنة مع نوع آخر من النظام الخرطوش) ثم زيادة عامل المقاومة الإيردينامية خلال تيار الدفق الثانوي. ومن الطائرات التي تستخدم هذا النوع من الخرطوش: SR-71، الكونكورد، إف-111 آردفارك، ومحرك ساب.
 وللرفع من جودة الخرطوش، ينبغي استخدام نوع آخر يسمى آيرس نوزل، ويعني بالعربية «خرطوش زهرة السوسن». يستخدم هذا النوع بتلات متداخلة يمكن تحريكها هيدروليكيًا، وهي أكثر تعقيدًا وأفضل جودةً وأسهل لمرور التيار من الخرطوش القاذف. لذلك فهي تجهز للطائرات ذات الكفاءة الأفضل مثل مقاتلات أف 14، إف 15، وأف 16 وأيضًا لقاذفات القنابل الإستراتيجية عالية السرعة مثل B-1 لانسر. ولأنواع الحديثة من تلك الخراطيش خاصية تغيير زاوية (توجيه) الدفع (طائرة الهارير أول طائرة استخدمت نظام توجيه الدفع).
 تستخدم محركات الصواريخ أيضًا فوهات أو خراطيش التقارب - التباعد، وتكون البتلات ثابتة لتقليل الوزن.",ما هي مميزات الخرطوش القاذف وما هي عيوبه؟,"مميزات الخرطوش القاذف هي بساطة التصميم والثبات، وعيوبه هي أداؤه المتوسط (مقارنة مع نوع آخر من النظام الخرطوش) ثم زيادة عامل المقاومة الإيردينامية خلال تيار الدفق الثانوي."
محرك نفاث,19," تحتوي على أقداح تدور حول نهاية فوهة الخرطوش وتعكس دفع النفاث كما بطائرات دي سي 9، أو تحتوي على صفائح خلف غطاء المحرك تنزلق للخلف مما يؤدي إلى معاكسة دفع المروحة فتنخفض سرعة الطائرة بشدة (المروحة تنتج معظم الدفع) وهذه الخاصية موجودة عند معظم الطائرات الضخمة مثل طائرة بوينغ 747.
 تتطلب المحركات النفاثة غازات حارة جدًا حتى تصبح أكثر كفاءة، ويؤمن لها ذلك عن طريق حرق وقود هيدروكربوني أو هيدروجيني، الأمر الذي يرفع من درجة حرارة الاحتراق لتصل إلى 3500 كالفن أو 3227 درجة مئوية، وهذا أعلى من درجة ذوبان معظم المعادن. وهذا ما يدعو إلى استخدام نظام التبريد لجعل درجة حرارة المعادن أقل من درجة ذوبانها.
 يحيط نظام التهوية بغرفة الاحتراق ويضخ على أطراف صفائح التوربين الدوارة هواء التبريد، الذي يمر من خلال فتحات التنظيم إلى شفرات التوربين فتخفف عنه الحرارة العالية ثم يخرج مع تصريف الهواء إلى تيار الغاز الخارج.
",ما هي الدرجة القصوى لحرارة الاحتراق في المحركات النفاثة؟,الدرجة القصوى لحرارة الاحتراق في المحركات النفاثة تصل إلى 3500 كالفن أو 3227 درجة مئوية.
محرك نفاث,20," وتسلسل الأحداث لزيادة الدفع يتمثل فيما يلي: داعس الوقود يرتفع فيزداد رذاذ الوقود إلى غرفة الاحتراق فتزداد كمية الاحتراق وهذا يعني أن غازات العادم ستكون أكثر سخونة ويصبح خروجها أسرع مما يعطي مزيدًا من القوة وهذا يؤدي لزيادة دفع المحرك مباشرة. وأيضًا زيادة الطاقة المستخرجة بواسطة التوربين والتي تزيد من سرعة الضاغط، مما يؤدي لزيادة تيار الهواء الداخل للمحرك أيضاً.
 يُلاحظ أن معدل كتلة دفق الهواء يتغير بتغير عزم الحركة (كتلة X السرعة) التي تُنتج القوة، وبما أن الكثافة تتغير مع الارتفاع لذا فإن كتلة الهواء الداخل أيضًا تتغير مع تغير الارتفاع والحرارة مما يعني أن مقياس داعس الوقود سيختلف تبعا لتلك التغييرات. لذلك يُلاحظ أن التحكم بدفق الوقود مستحب أن يكون ذاتي التشغيل. عادةً ما يكون هناك نظامين، أحدهما للتحكم بضغط الوقود والآخر بكمية الدفق. فالبيانات المطلوبة التي تؤثر على قدرة مضخة الوقود ذات الضغط العالي هي الضغط والحرارة من المدخل ومن نقاط معينة داخل المحرك، إضافة إلى بيانات الداعس وسرعة المحرك وغيرها.
 تلك الوحدة أشبه بحاسوب ميكانيكي، يقرر الخارج من الطرمبة بواسطة منظومة من الصمامات التي تتحكم بضغط الوقود فتسبب التغير بالكمية. فمثلاً عند زيادة الارتفاع يقل ضغط الهواء الداخل فيتمدد الهواء داخل غرفة الاحتراق بسرعة أكثر مما يسبب خروج وقود زائد عن الحاجة عن طريق صمام الوقود الفائض، فتقلل الطرمبة الرئيسية من ضخ الوقود حتى يتعادل الضغط داخل الغرفة مع ضغط هواء الخارجي فيتوقف خروج الوقود الزائد.
",كيف يتم التحكم في دفق الوقود في المحرك النفاث؟,"يتم التحكم في دفق الوقود في المحرك النفاث بشكل تلقائي اعتمادًا على معدل دفق الهواء. عندما يرتفع داعس الوقود، يزداد رذاذ الوقود إلى غرفة الاحتراق فتزداد كمية الاحتراق."
محرك نفاث,21,"ق حاجز يستشعر سرعة المحرك من حيث الضغط المركزي المتسبب من دوران المضخة. فعند الوصول للمعدل الحرج، يُفتح صمام الوقود الفائض بواسطة الحاجز ويخرج الوقود الزائد مما يخفف سرعة المحرك.
يتأثر ضخ الوقود بالمعطيات الخارجية مثل الارتفاع وتغير الضغط الخارجي والتغير بسرعة الطائرة. أما مضخة الوقود فهدفها جعل ضغط الوقود أعلى من الضغط الموجود بغرفة الاحتراق حتى يمكن ضخه بسهولة.
 يعتمد نظام التشغيل على نظام الوقود وعملية اشتعال خليط الهواء مع الوقود داخل غرفة الاحتراق. عادةً ما يكون هناك محرك خاص يُطلق عليه تسمية وحدة الطاقة الاحتياطية (APU)، يُستخدم لتشغيل المحرك من خلال تدوير الضاغط إلى سرعة تمكنه من تشغيل التوربين، وهناك عدة أنواع من نظم التشغيل: كهربائي وهيدروليكي وهوائي.
",ما هو الهدف من مضخة الوقود في المحرك النفاث؟,الهدف من مضخة الوقود هو جعل ضغط الوقود أعلى من الضغط الموجود بغرفة الاحتراق حتى يمكن ضخه بسهولة.
محرك نفاث,22,"تعطي الأشكال الحديثة من نظام الإشعال طاقة من شديدة القوة يمكنها أن تكون قاتلة، لذلك يجب أخذ الاحتياطات الملائمة عند التعامل مع التوصيلات الكهربائية عندما يعمل النظام.
 يستخدم نظام التشحيم للمحافظة على وجود الشحم في أماكن التحميل والارتكاز لمنع الاحتكاك والتأكد من عدم ارتفاع درجة حرارة تلك الأماكن، ويمنع التشحيم أيضًا دخول الأجسام الغريبة إلى أي من القطع المتحركة داخل المحرك ككراسي التحميل والتروس والمسننات.
 يتكون هذا النظام من: خزان الزيت ذي جهاز تفريغ من الهواء، مضخة زيت رئيسية، مرشح رئيسي مع صمام مرشح جانبي، صمام تعديل الضغط، ومبرد زيت.
تبدأ طريق مرور الزيت من الخزان فالمضخة الرئيسية ثم المعدل فالمرشح الرئيسي ثم مبرد الزيت حتى يصل للمحرك حيث نقاط التحميل والارتكاز.
 عندما ترتفع سرعة المحرك، يزداد الضغط على مناطق التحميل والارتكاز مما يقلل فرق الضغط ما بين تغذية التشحيم والغرفة، الأمر الذي يخفض من معدل الزيت المطلوب، ولذلك فوجود صمام تعديل الضغط لكي يعدل فارق الضغط ضروري حتى يستمر تيار ضغط التشحيم ثابتاً.
 
",ما هو الدور الرئيسي لنظام التشحيم في محرك الطائرة؟,"يستخدم نظام التشحيم للمحافظة على وجود الشحم في أماكن التحميل والارتكاز لمنع الاحتكاك والتأكد من عدم ارتفاع درجة حرارة تلك الأماكن، ويمنع التشحيم أيضًا دخول الأجسام الغريبة إلى أي من القطع المتحركة داخل المحرك ككراسي التحميل والتروس والمسننات."
السياحة في السعودية,1,"السياحة في السعودية هي أحد القطاعات الناشئة ذات النمو السريع، وتمثل أحد المحاور المهمة لرؤية السعودية 2030. وإضافة للمكنوز التاريخي والتراثي والتنوع الطبيعي والثقافي للسعودية،[1] تعد أرضها مهد الدين الإسلامي ما يجعلها محل جذب سياحي، حيث يقصد المسجد الحرام والمسجد النبوي ملايين المسلمين لأداء فريضة الحج ومناسك العمرة، وجاءت المملكة أول الوجهات العربية تفضيلا من قبل السياح المسلمين ورابعها عالميًا ضمن قائمة الوجهات العشر الأولى الأكثر زيارة من قبل السياح المسلمين، من بين 130 بلدًا بحسب تقرير المؤشر العالمي للسياحة الإسلامية لسنة 2019م.[2]
 في 27 سبتمبر 2019 استحدثت السعودية، للمرة الأولى في تاريخها، تأشيرة سياحية تتيح لجميع مواطني دول العالم القدوم إليها على مدار العام وفق تنظيمات جديدة تضمنت إمكانية الحصول على التأشيرة إلكترونيا أو عند الوصول لأحد منافذ الدخول، كما لا تشترط إلزامية وجود المرافق للمرأة، أو ضرورة لبسها للعباءة، مع وجوب التقيد بالنظام والذوق العام.[3] ووفقا لنظام هذه التأشيرة، والتي تصل صلاحيتها لعام كامل، يمكن القيام بزيارات متعددة للمملكة على ألا تتجاوز 90 يوما في المرة الواحدة، وسيستفيد من التأشيرة في مرحلتها الأولى مواطنو 49 دولة يتوقع أن يمثلوا نحو 80% من نفقات السفر العالمية و75% من الرحلات الترفيهية في العالم بحلول عام 2030.[4] وفي أكتوبر 2023 أضافت وزارة السياحة ست دول أخرى للاستفادة من التأشيرة الإلكترونية (تركيا وتيلندة وموريشيوس وسيشل وبنما، بالإضافة إلى دولة سانت كيتس ونيفيس)، وتلك التأشيرة تسمح بالسياحة وأداء العمرة بالإضافة إلى الأعمال وزيارة الأقارب والأصدقاء بحسب ما صرحت به وزارة السياحة.",متى بدأت السعودية بتقديم تأشيرات السياحة وما هي الدول التي استفادت منها أولاً؟,"بدأت السعودية بتقديم تأشيرات السياحة في 27 سبتمبر 2019، واستفاد منها في المرحلة الأولى مواطنو 49 دولة."
السياحة في السعودية,2,"باتت تحتل المركز الأول بين دول مجموعة العشرين من حيث نسبة نمو عدد السياح الدوليين.[6] وفي العام 2023دخل المملكة العربية السعودية سبعة وعشرين مليون سائح أجنبي وفق ما صرح به وزير السياحة السعودي أحمد بن عقيل الخطيب.[7][8] كما تصدرت السعودية في العام 2023 قائمة الأمم المتحدة لنسبة نمو السياح الدوليين حيث حققت رقما قياسيا في إنفاق السياح القادمين من الخارج.[9]
 وتعول السعودية على زيادة مساهمة قطاع السياحة في الناتج الوطني حيث أعلن أحمد الخطيب وزير السياحة، استقطاب استثمارات تقدر بـ115 مليار ريال حتى وقت إطلاق التأشيرة السياحية، متوقعا في عام 2030 استقبال 100 مليون زيارة سنويا لتكون المملكة وفق رؤية 2030 ضمن أكثر 5 دول استقبالا للسياح، إذ تعمل الآن على زيادة القدرة الاستيعابية لمطاراتها إلى 150 مليون راكب سنويا، كما تعمل على تطوير وجهات سياحية جديدة مثل مدينة المستقبل ”نيوم“، ومدينة القدية الثقافية قرب الرياض، إضافة لعدد من المشاريع السياحية والترفيهية في محيط البحر الأحمر. ويتوقع أن تشهد أعداد الغرف الفندقية زيادة قدرها 500 ألف غرفة إضافية.",كم عدد السياح الأجانب الذين دخلوا المملكة العربية السعودية في العام 2023؟,دخل المملكة العربية السعودية سبعة وعشرين مليون سائح أجنبي في العام 2023.
السياحة في السعودية,3,"ير ما يصل إلى 1.6 مليون وظيفة في عام 2030.[15] وأشار ولي العهد السعودي الأمير محمد بن سلمان بتاريخ 6 ديسمبر 2023 في كلمة له بمناسبة إعلان الميزانية لعام 2024 أن المملكة تريد زيادة مساهمة القطاع السياحي في الاقتصاد المحلي إلى 289 مليار ريال كإجمالي حجم إنفاق سياحي، وتحقيق 88 مليون زائر، والمزيد من التوظيف في القطاع السياحي. حيث تعمل المملكة على رفع مستهدفات السياحة إلى 150 مليون زائر داخلياً وخارجياً بحلول عام 2030.[16]
 أسهم قطاع السياحة السعودي في تطور الناتج المحلي الإجمالي بنسبة تجاوزت 7.2% سنة 2011،[17] وتجاوزت نسبة توظيف السعوديين فيه 26% من مجموع العاملين في القطاع السياحي، والذين يشغلون 670 ألف وظيفة مباشرة، كما أسهم هذا التوظيف بما نسبته 9.1% من إجمالي القوى العاملة بالمملكة بالقطاع الخاص. ووفقاً لبيانات منظمة السياحة العالمية فإن حصة المملكة العربية السعودية من عدد الرحلات السياحية إلى منطقة الشرق الأوسط قد بلغت 32%. ",ما هي الأهداف التي وضعتها السعودية لقطاع السياحة بحلول عام 2030؟,"تريد المملكة العربية السعودية زيادة مساهمة القطاع السياحي في الاقتصاد المحلي إلى 289 مليار ريال كإجمالي حجم إنفاق سياحي، وتحقيق 88 مليون زائر، والمزيد من التوظيف في القطاع السياحي."
السياحة في السعودية,4," ووفقاً لتقرير منظمة السياحة العالمية باروميتر الصادر في شهر يناير 2024، حققت السعودية تعافيًا بنسبة 156% في أعداد السياح الوافدين خلال العام 2023 مقارنةً بالعام 2019.[26] وفي فبراير 2024 أكد وزير السياحة السعودي أحمد الخطيب، أن السعودية حققت خلال 2023 مستهدف 100 مليون سائح الذي كان مخططاً له بحلول 2030، مشيرا إلى أن المملكة استقطبت 77 مليون سائح من داخلها و27 مليوناً من خارجها أنفقوا 100 مليار ريال (27 مليار دولار).[27] وفي مارس 2024 اجتذبت السعودية حوالي 13 مليار دولار من استثمارات القطاع الخاص في صناعة السياحة حيث تهدف المملكة إلى تقاسم تكلفة الإنفاق المرتبطة بخطتها لتصبح نقطة جذب جديدة للسفر.[28][29] وفي 30 مارس 2024 كشفت بيانات البنك المركزي السعودي أن المملكة حققت رقمًا قياسيًا هو الأعلى في تاريخها في إنفاق الزوار القادمين إليها من الخارج خلال العام 2023م بما يصل إلى 135 مليار ريال بنسبة نمو قدرها 42.8% مقارنة بعام 2022م.",ما هي النسبة التي حققتها السعودية في تعافي أعداد السياح الوافدين خلال العام 2023 مقارنةً بالعام 2019؟,السعودية حققت تعافيًا بنسبة 156% في أعداد السياح الوافدين خلال العام 2023 مقارنةً بالعام 2019. 
السياحة في السعودية,5,"[35] كما يوجد أكثر من 10 آلاف موقع تراثي وثقافي في البلاد،[36] منها 500 ذكرت في الشعر العربي القديم، ونحو 400 موقع آخر ورد ذكرها في السيرة النبوية، لكن تظل مكة أكثر المدن جذباً للزوار تليها المدينة المنورة.[37] تمتد على ساحل البحر الأحمر شواطئ مؤهلة لأن تكون مكاناً جاذباً للسياح، قرابة 1800 كم من الغرب وعلى مسافة 700 كم على ساحل الخليج العربي من الشرق، وتعد مياه المملكة الدافئة وساعات النهار الطويلة نقاط جذب مهمة. تخطط السعودية لجذب 100 مليون زيارة سنويا في العام 2030،[38] وإلى رفع مساهمة %السياحة في الاقتصاد من خمسة إلى 18
 ",كم عدد المواقع التراثية والثقافية في السعودية؟,يوجد أكثر من 10 آلاف موقع تراثي وثقافي في السعودية. 
السياحة في السعودية,6," ترفض السعودية تسمية هذا النوع من السياحة بالسياحة الدينية، وعلى الرغم من الاختلاف على مشروعية هذا المسمى إلا أن بعض المشايخ رأوا بأن السياحة تأتي بمعنى الانتقال من مكان إلى مكان آخر لمشاهدة ما فيه من آثار أو للتنزه والتمتع بما فيه من مناظر أو مظاهر أمر لا يمنعه الدين في حد ذاته، بل يأمر به إذا كان الغرض شريفاً مستدلين برحلة الإمام الشافعي في طلب العلم ودعوته إلى السفر، واعتبروا أن الحج نفسه سياحة دينية وعبادة مفروضة،[45] ولكن الأمير خالد الفيصل أمير منطقة مكة المكرمة رفض تسمية الحج والعمرة بالسياحة الدينية حيث قال: ""لا يوجد سياحة دينية في مكة المكرمة بل إنها مكان للحج وللعبادة، حيث إن كل من يقصد بيت الله الحرام هو لأداء الفروض الإسلامية، والسياحة خارج حدود مكة والمشاعر المقدسة"".[46]
 نظراً لما تمتلكه المملكة من مساحة واسعة، وشواطئ ممتدة على ساحلي البحر الأحمر والخليج العربي، وسلاسل جبال شاهقة وتنوع في نظمها البيئية، فإن السياحة البيئية تشكل عنصراً مهماً من عناصر الجذب السياحي الداخلي فيها. إلا أنه وعلى الرغم من ذلك فإنه لا يزال وضع السياحة في الوطن العربي، وفي دول مجلس التعاون الخليجي تحديداً، محدوداً نسبياً، حيث لا يتعدى حجمها 3% من الناتج الإجمالي.[47] استثمرت السعودية حوالي 25 مليار ريال في هذا المجال في الفترة ما بين عامي 1995 و2002.",ما هو موقف السعودية من تسمية السياحة الدينية؟,"ترفض السعودية تسمية هذا النوع من السياحة بالسياحة الدينية، حيث قال الأمير خالد الفيصل أمير منطقة مكة المكرمة: ""لا يوجد سياحة دينية في مكة المكرمة بل إنها مكان للحج وللعبادة، حيث إن كل من يقصد بيت الله الحرام هو لأداء الفروض الإسلامية."
السياحة في السعودية,7,"لسياحة وارتفع استقطابها للسياح المحليين ليصل إلى 27% من أصل أربعة ملايين سائح سعودي يتوجهون إلى الخارج سنوياً، وينفقون ما يصل إلى نحو 64 مليار ريال. ويصرف السيّاح السعوديون ما يتراوح بين 6 و 10 بلايين ريال على السياحة البيئية وفق التقديرات العالمية لحصة السياحة البيئية من كافة المجالات السياحة. تعتبر خطة التنمية الخامسة (1410 - 1415 هـ / 1990 - 1995م) البداية الفعلية للاهتمام بالسياحة في المملكة، حيث شهدت المرافق السياحية توسعاً كبيراً سواء على المرتفعات الجبلية أو السواحل البحرية.[48]
",ما هو النسبة المئوية للسياح المحليين في السعودية من أصل أربعة ملايين سائح سعودي يتوجهون إلى الخارج سنوياً؟,27%
السياحة في السعودية,8," في سنة 2002 عقدت الهيئة الوطنية لحماية الحياة الفطرية بالتعاون مع الهيئة العليا للتطوير السياحي ندوة دولية للسياحة البيئية في المملكة العربية السعودية، وكانت قد قدرت في إحدى دراساتها أن سبع محميات في المملكة تصلح لأن تكون حاضنة للسياحة البيئية، وتشتمل النشاطات المتوقعة فيها على الرحلات الراجلة والقيادة لمشاهدة الحياة الفطرية والطيور، والمشي على الكثبان الرملية والتخييم والغوص ومشاهدة معروضات مراكز الزوار التي تقوم بدور متاحف بيئية مصغرة.[49]
 تختلف هذه المحميات باختلاف المناطق التي تقع عليها، حيث تغطي مختلف النظم البيئية والمشاهد الطبيعية في المملكة. فهناك محمية جزر فرسان على الساحل الجنوبي الغربي للبحر الأحمر، ومحمية عروق بني معارض على الطرف الشمالي الغربي للربع الخالي، ومحمية ريدة في قمم جبال السروات، ومحمية محازة الصيد على هضبة نجد، ومحمية الوعول على جانب جبال طويق، والمحميات الشمالية المتمثلة في حرّة الحرة والخنقة والطبيق التي تشتمل على الحرات البركانية. وجميع هذه المحميات تزخر بالأنواع الفطرية المستوطنة أو المعاد توطينها من الأنواع المحلية المهددة بالانقراض. وضمن الخطط التطويرية التي وضعتها الهيئة الملكية لمحافظة العلا يأتي مشروع إعادة توطين النمر العربي من خلال محمية شرعان في العلا وإنشاء أكبر صندوق عالمي من نوعه لحمايته.",ما هي النشاطات المتوقعة في محميات المملكة العربية السعودية المتاحة للسياحة البيئية؟,"النشاطات المتوقعة تشتمل على الرحلات الراجلة والقيادة لمشاهدة الحياة الفطرية والطيور، والمشي على الكثبان الرملية والتخييم والغوص ومشاهدة معروضات مراكز الزوار التي تقوم بدور متاحف بيئية مصغرة"
السياحة في السعودية,9," لا تزال السياحة العلاجية في السعودية ضعيفة، بالرغم من وجود عدد من المستشفيات المتخصصة وبعض المواقع الطبيعية الاستشفائية المتمثلة بالعيون الحارّة ونحوها المنتشرة في المملكة. تضم المملكة مستشفيات متخصصة، في مجال الأورام إلى جانب زراعة النخاع العظمي وكذلك الجراحات التجميلية ببرامجها الدقيقة، وبعض تلك المراكز والمستشفيات الطبية مجهزة من الناحية التقنية والفندقية والتأهيل الطبي، حيث تعد الرياض وجدة والخُبَر من المدن التي يمكن أن تكون الوجهة المناسبة لمن يقصدها بغرض العلاج، باعتبارها الأكثر تأهيلاً وجاهزية بالنسبة لمدن المملكة الأخرى.",ما هي بعض المدن في السعودية المناسبة للسياحة العلاجية؟,الرياض وجدة والخُبَر هي من بين المدن التي يمكن أن تكون الوجهة المناسبة لمن يقصدها بغرض العلاج.
السياحة في السعودية,10," تعدّ سياحة التسوّق من أهم المجالات السياحية في المملكة، وتشير الإحصائيات إلى أن سياحة التسوق تستحوذ على ما نسبته 75% من الإنفاق الإجمالي على الأنشطة الترفيهية في المملكة.[58] عادة ما تكون سياحة التسوق بغرض التسوّق وشراء منتجات بلد ما تسري عليها تخفيضات من أجل الجذب السياحي، هناك العديد من الخيارات في مجال التسوق حيث توجد الأسواق الشعبية والبقالات التقليدية والمتاجر الكبرى ومراكز التسوق التجارية الحديثة، وتتوافر فيها العديد من المنتجات والماركات التجارية العالمية. في الأسواق الشعبية تتوفر العديد من الأشياء كمنتجات الحرف اليدوية والأثاث والسجاد والعطور والبخور والذهب والمجوهرات بالإضافة إلى التحف والمشغولات الفنية والملابس وغيرها، وعادة ما تكون الأسواق الشعبية في جميع المدن وكذلك القرى الكبرى. كما أن معظم المدن الرئيسية تتميز بوجود مراكز تجارية حديثة وبعضها تكون معالم معروفة لتلك المدن.[59]
",ما هي أهمية سياحة التسوق في المملكة العربية السعودية؟,"سياحة التسوق تعد من أهم المجالات السياحية في المملكة العربية السعودية، حيث تستحوذ على ما نسبته 75% من الإنفاق الإجمالي على الأنشطة الترفيهية في المملكة. "
السياحة في السعودية,11," اهتمت الهيئة العامة للسياحة والتراث الوطني (وزارة السياحة حاليا) بسياحة الأعمال في المملكة، وقد عملت الهيئة على التعاون مع وزارة التجارة ومجالس الغرف التجارية، والمناطق وغيرها لتطوير ما يتطلبه هذا النوع من السياحة لتكون أكثر تنافسية، حيث أن هذه السياحة تكون عادةً بغرض حضور المعارض والمؤتمرات والاجتماعات أو الاشتراك بها. تشهد المملكة نمواً ملحوظاً ومتصاعداً في مجال سياحة الأعمال، وذلك بسبب النهضة الاقتصادية والعمرانية بها، وما تحتويه من خدمات وبنية تحتية المناسبة. وتمثل سياحة الأعمال رافداً مهما في السوق السياحي بالدولة، حيث يبلغ إنفاق سياح الأعمال نحو 21% من إجمالي السياحة في المملكة. هناك أكثر من 100 ألف فعالية أعمال تقام سنوياً، يحضرها أكثر من 3.9 مليون سائح بمعدلات إنفاق تتجاوز 4.2 مليار ريال. كما توجد أكثر من 600 صالة معارض ومؤتمرات واجتماعات.[61] في سنة 2013 حققت سياحة الأعمال 14 مليار ريال، ويتوقع أن يصل في سنة 2024 إلى 30 ملياراً.[62] تعكف وزارة السياحة حالياً على تطوير سياحة الأعمال والعمل على رفع عدد الرحلات السياحية المحلية القادمة المرتبطة بسياحة الأعمال، مع التركيز على تطوير عناصر صناعة سياحة الأعمال، وغيرها من الأمور التي تسهم في زيادة عدد منتجات وبرامج سياحة الأعمال ورفع جودتها.",ما هي النسبة المئوية لإنفاق سياح الأعمال من إجمالي السياحة في المملكة العربية السعودية؟,النسبة المئوية لإنفاق سياح الأعمال من إجمالي السياحة في المملكة العربية السعودية هي 21%.
السياحة في السعودية,12," هي نوع من السياحة يستهدف فئة الشباب خصوصًا، وتشمل الفعاليات والأنشطة والرحلات التي تكون بشكل فردي أو جماعي، وتتنوع بين الرياضات والمغامرات الصحراوية، والجبلية، والشاطئية والبحرية، والجوية، وغيرها من الأنشطة والفعاليات، وقد بلغ عدد الرحلات السياحية الرياضية في المملكة للعام 2018م، 151 ألف رحلة، ووصل الإنفاق السياحي على مستوى المملكة للعام نفسه 134 مليون ريال.[64]
 تتميز مدائن صالح كونها إحدى أهم وأبرز الوجهات السياحية في السعودية، حيث أنه في سنة 2008، أعلنت منظمة الأمم المتحدة للعلوم والتربية والثقافة (اليونسكو) أن مدائن صالح موقع تراث عالمي، وبذلك أصبح أول موقع في السعودية ينضم إلى قائمة مواقع التراث العالمي.[65] تضم آثار مدائن صالح 153 واجهة صخرية منحوتة، كما تضم عدداً من الآثار الإسلامية والتي تتمثل في عدد من القلاع وبقايا خط سكة حديد الحجاز والتي تمتد لمسافة 13 كم وكذلك المحطة والقاطرات.[66] مدائن صالح والمعروفة سابقاً بالحِجْر تقع بالقرب من مدينة العُلا والتي هي بدورها تحتوي على عدد من الآثار، وتتمتع بوجود عدد من الفنادق ودور السكن فيها ذات مستوى جيد.",كم بلغ عدد الرحلات السياحية الرياضية في السعودية للعام 2018م؟,"بلغ عدد الرحلات السياحية الرياضية في السعودية للعام 2018م، 151 ألف رحلة."
السياحة في السعودية,13,"ُلا، والذي يبعد مسافة تقدّر بحوالي 15 دقيقة عن الموقع، والمطار يستقبل الوجهات القادمة من الرياض والمدينة المنورة وحائل. كما أنه يمكن الوصول إلى الموقع أيضاً عن طريق السيارة أو عن طريق الحافلات القادمة من جدة وحائل والمدينة المنورة والرياض التي تتجّه يومياً إلى مدينة العلا.[67] بالنسبة للأجانب فهم يحتاجون إلى تصريح خاص يسمح لهم بزيارة موقع مدائن صالح، حيث أنه يوجد سور يحيط بالموقع مع وجود بوابة خاصة به، ويمكن الحصول على التصريح من خلال مبنى لجنة الآثار الواقع قرب المتحف الوطني، أو من أحد الفنادق الموجودة في محيط مدائن صالح، شرط وجود جواز السفر.[67] أعلنت وزارة السياحة أنه لا يشترط إذناً مسبق عند زيارة الموقع، والاكتفاء بتسجيل اسم الزائر عند بوابة الموقع",ما هي الوسائل المتاحة للوصول إلى مدينة العلا في السعودية؟,"يمكن الوصول إلى مدينة العلا عن طريق الطائرة من الرياض والمدينة المنورة وحائل، أو عن طريق السيارة أو الحافلات القادمة من جدة وحائل والمدينة المنورة والرياض."
